feature,coefficient
density,-102.08169012366047
volatile acidity,-1.5088099342141672
sulphates,0.7630153996947505
chlorides,-0.5826316267786456
pH,0.5276331228487534
type_white,-0.3352083722454513
alcohol,0.23259370530263118
citric acid,-0.09788782860067723
fixed acidity,0.09213303022248581
residual sugar,0.06282165153438918
free sulfur dioxide,0.005977904226744379
total sulfur dioxide,-0.0016324304442363324
